-----------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations
solve<GlobalSort>/132/17576/real_time            11214383 ns     11214237 ns           62
solve<GlobalSort>/132/17576/real_time_mean       11218469 ns     11218215 ns            3
solve<GlobalSort>/132/17576/real_time_median     11214383 ns     11214237 ns            3
solve<GlobalSort>/132/17576/real_time_stddev         7716 ns         7788 ns            3
solve<GlobalSort>/132/17576/real_time_cv             0.07 %          0.07 %             3
solve<GlobalSort>/8788/17576/real_time           15543995 ns     15543860 ns           45
solve<GlobalSort>/8788/17576/real_time           15507022 ns     15506350 ns           45
solve<GlobalSort>/8788/17576/real_time           15560142 ns     15559898 ns           45
solve<GlobalSort>/8788/17576/real_time_mean      15537053 ns     15536703 ns            3
solve<GlobalSort>/8788/17576/real_time_median    15543995 ns     15543860 ns            3
solve<GlobalSort>/8788/17576/real_time_stddev       27232 ns        27482 ns            3
solve<GlobalSort>/8788/17576/real_time_cv            0.18 %          0.18 %             3
solve<GlobalSort>/17576/17576/real_time          22367774 ns     22367089 ns           31
solve<GlobalSort>/17576/17576/real_time          22393201 ns     22393146 ns           31
solve<GlobalSort>/17576/17576/real_time          22383540 ns     22382931 ns           31
solve<GlobalSort>/17576/17576/real_time_mean     22381505 ns     22381055 ns            3
solve<GlobalSort>/17576/17576/real_time_median   22383540 ns     22382931 ns            3
solve<GlobalSort>/17576/17576/real_time_stddev      12835 ns        13129 ns            3
solve<GlobalSort>/17576/17576/real_time_cv           0.06 %          0.06 %             3
solve<MinPriQ>/2/2/real_time                         1166 ns         1170 ns       599853
solve<MinPriQ>/2/2/real_time                         1166 ns         1170 ns       599853
solve<MinPriQ>/2/2/real_time                         1166 ns         1170 ns       599853
solve<MinPriQ>/2/2/real_time_mean                    1166 ns         1170 ns            3
solve<MinPriQ>/2/2/real_time_median                  1166 ns         1170 ns            3
solve<MinPriQ>/2/2/real_time_stddev                 0.142 ns        0.132 ns            3
solve<MinPriQ>/2/2/real_time_cv                      0.01 %          0.01 %             3
solve<MinPriQ>/2/300/real_time                     100160 ns       100164 ns         6934
solve<MinPriQ>/2/300/real_time                     100889 ns       100886 ns         6934
solve<MinPriQ>/2/300/real_time                     100124 ns       100121 ns         6934
solve<MinPriQ>/2/300/real_time_mean                100391 ns       100390 ns            3
solve<MinPriQ>/2/300/real_time_median              100160 ns       100164 ns            3
solve<MinPriQ>/2/300/real_time_stddev                 432 ns          430 ns            3
solve<MinPriQ>/2/300/real_time_cv                    0.43 %          0.43 %             3
solve<MinPriQ>/17/300/real_time                    127890 ns       127896 ns         5466
solve<MinPriQ>/17/300/real_time                    128069 ns       128074 ns         5466
solve<MinPriQ>/17/300/real_time                    128192 ns       128197 ns         5466
solve<MinPriQ>/17/300/real_time_mean               128050 ns       128056 ns            3
solve<MinPriQ>/17/300/real_time_median             128069 ns       128074 ns            3
solve<MinPriQ>/17/300/real_time_stddev                152 ns          151 ns            3
solve<MinPriQ>/17/300/real_time_cv                   0.12 %          0.12 %             3
solve<MinPriQ>/150/300/real_time                   118220 ns       118222 ns         5930
solve<MinPriQ>/150/300/real_time                   118098 ns       118097 ns         5930
solve<MinPriQ>/150/300/real_time                   117609 ns       117609 ns         5930
solve<MinPriQ>/150/300/real_time_mean              117976 ns       117976 ns            3
solve<MinPriQ>/150/300/real_time_median            118098 ns       118097 ns            3
solve<MinPriQ>/150/300/real_time_stddev               323 ns          324 ns            3
solve<MinPriQ>/150/300/real_time_cv                  0.27 %          0.27 %             3
solve<MinPriQ>/300/300/real_time                   111588 ns       111581 ns         6236
solve<MinPriQ>/300/300/real_time                   111874 ns       111876 ns         6236
solve<MinPriQ>/300/300/real_time                   112321 ns       112317 ns         6236
solve<MinPriQ>/300/300/real_time_mean              111928 ns       111925 ns            3
solve<MinPriQ>/300/300/real_time_median            111874 ns       111876 ns            3
solve<MinPriQ>/300/300/real_time_stddev               370 ns          371 ns            3
solve<MinPriQ>/300/300/real_time_cv                  0.33 %          0.33 %             3
solve<MinPriQ>/2/17576/real_time                  7524800 ns      7525180 ns           93
solve<MinPriQ>/2/17576/real_time                  7525717 ns      7526050 ns           93
solve<MinPriQ>/2/17576/real_time                  7523644 ns      7523791 ns           93
solve<MinPriQ>/2/17576/real_time_mean             7524720 ns      7525007 ns            3
solve<MinPriQ>/2/17576/real_time_median           7524800 ns      7525180 ns            3
solve<MinPriQ>/2/17576/real_time_stddev              1039 ns         1139 ns            3
solve<MinPriQ>/2/17576/real_time_cv                  0.01 %          0.02 %             3
solve<MinPriQ>/132/17576/real_time                8140626 ns      8140892 ns           86
solve<MinPriQ>/132/17576/real_time                8131096 ns      8131087 ns           86
solve<MinPriQ>/132/17576/real_time                8137540 ns      8138141 ns           86
solve<MinPriQ>/132/17576/real_time_mean           8136421 ns      8136707 ns            3
solve<MinPriQ>/132/17576/real_time_median         8137540 ns      8138141 ns            3
solve<MinPriQ>/132/17576/real_time_stddev            4863 ns         5058 ns            3
solve<MinPriQ>/132/17576/real_time_cv                0.06 %          0.06 %             3
solve<MinPriQ>/8788/17576/real_time               9268188 ns      9268646 ns           76
solve<MinPriQ>/8788/17576/real_time               9284168 ns      9284827 ns           76
solve<MinPriQ>/8788/17576/real_time               9294735 ns      9295331 ns           76
solve<MinPriQ>/8788/17576/real_time_mean          9282364 ns      9282935 ns            3
solve<MinPriQ>/8788/17576/real_time_median        9284168 ns      9284827 ns            3
solve<MinPriQ>/8788/17576/real_time_stddev          13365 ns        13443 ns            3
solve<MinPriQ>/8788/17576/real_time_cv               0.14 %          0.14 %             3
solve<MinPriQ>/17576/17576/real_time              9673265 ns      9673703 ns           72
solve<MinPriQ>/17576/17576/real_time              9659765 ns      9660526 ns           72
solve<MinPriQ>/17576/17576/real_time              9701840 ns      9702450 ns           72
solve<MinPriQ>/17576/17576/real_time_mean         9678290 ns      9678893 ns            3
solve<MinPriQ>/17576/17576/real_time_median       9673265 ns      9673703 ns            3
solve<MinPriQ>/17576/17576/real_time_stddev         21482 ns        21439 ns            3
solve<MinPriQ>/17576/17576/real_time_cv              0.22 %          0.22 %             3
solve<Make_heap>/2/2/real_time                       1240 ns         1245 ns       564473
solve<Make_heap>/2/2/real_time                       1240 ns         1245 ns       564473
solve<Make_heap>/2/2/real_time                       1241 ns         1246 ns       564473
solve<Make_heap>/2/2/real_time_mean                  1240 ns         1245 ns            3
solve<Make_heap>/2/2/real_time_median                1240 ns         1245 ns            3
solve<Make_heap>/2/2/real_time_stddev               0.665 ns        0.621 ns            3
solve<Make_heap>/2/2/real_time_cv                    0.05 %          0.05 %             3
solve<Make_heap>/2/300/real_time                   112299 ns       112332 ns         6186
solve<Make_heap>/2/300/real_time                   113256 ns       113283 ns         6186
solve<Make_heap>/2/300/real_time                   113614 ns       113647 ns         6186
solve<Make_heap>/2/300/real_time_mean              113057 ns       113087 ns            3
solve<Make_heap>/2/300/real_time_median            113256 ns       113283 ns            3
solve<Make_heap>/2/300/real_time_stddev               680 ns          679 ns            3
solve<Make_heap>/2/300/real_time_cv                  0.60 %          0.60 %             3
solve<Make_heap>/17/300/real_time                  140451 ns       140469 ns         4975
solve<Make_heap>/17/300/real_time                  140323 ns       140334 ns         4975
solve<Make_heap>/17/300/real_time                  139848 ns       139867 ns         4975
solve<Make_heap>/17/300/real_time_mean             140207 ns       140223 ns            3
solve<Make_heap>/17/300/real_time_median           140323 ns       140334 ns            3
solve<Make_heap>/17/300/real_time_stddev              318 ns          316 ns            3
solve<Make_heap>/17/300/real_time_cv                 0.23 %          0.23 %             3
solve<Make_heap>/150/300/real_time                 132597 ns       132618 ns         5280
solve<Make_heap>/150/300/real_time                 132574 ns       132597 ns         5280
solve<Make_heap>/150/300/real_time                 132570 ns       132592 ns         5280
solve<Make_heap>/150/300/real_time_mean            132581 ns       132602 ns            3
solve<Make_heap>/150/300/real_time_median          132574 ns       132597 ns            3
solve<Make_heap>/150/300/real_time_stddev            14.8 ns         13.6 ns            3
solve<Make_heap>/150/300/real_time_cv                0.01 %          0.01 %             3
solve<Make_heap>/300/300/real_time                 124909 ns       124924 ns         5592
solve<Make_heap>/300/300/real_time                 124842 ns       124865 ns         5592
solve<Make_heap>/300/300/real_time                 124492 ns       124520 ns         5592
solve<Make_heap>/300/300/real_time_mean            124748 ns       124770 ns            3
solve<Make_heap>/300/300/real_time_median          124842 ns       124865 ns            3
solve<Make_heap>/300/300/real_time_stddev             224 ns          218 ns            3
solve<Make_heap>/300/300/real_time_cv                0.18 %          0.17 %             3
solve<Make_heap>/2/17576/real_time                8284188 ns      8284772 ns           84
solve<Make_heap>/2/17576/real_time                8243232 ns      8244166 ns           84
solve<Make_heap>/2/17576/real_time                8262594 ns      8263245 ns           84
solve<Make_heap>/2/17576/real_time_mean           8263338 ns      8264061 ns            3
solve<Make_heap>/2/17576/real_time_median         8262594 ns      8263245 ns            3
solve<Make_heap>/2/17576/real_time_stddev           20488 ns        20315 ns            3
solve<Make_heap>/2/17576/real_time_cv                0.25 %          0.25 %             3
solve<Make_heap>/132/17576/real_time              8705152 ns      8705580 ns           80
solve<Make_heap>/132/17576/real_time              8698893 ns      8699486 ns           80
solve<Make_heap>/132/17576/real_time              8703950 ns      8704410 ns           80
solve<Make_heap>/132/17576/real_time_mean         8702665 ns      8703159 ns            3
solve<Make_heap>/132/17576/real_time_median       8703950 ns      8704410 ns            3
solve<Make_heap>/132/17576/real_time_stddev          3322 ns         3234 ns            3
solve<Make_heap>/132/17576/real_time_cv              0.04 %          0.04 %             3
solve<Make_heap>/8788/17576/real_time            10283757 ns     10284661 ns           68
solve<Make_heap>/8788/17576/real_time            10242957 ns     10243588 ns           68
solve<Make_heap>/8788/17576/real_time            10283620 ns     10284105 ns           68
solve<Make_heap>/8788/17576/real_time_mean       10270111 ns     10270785 ns            3
solve<Make_heap>/8788/17576/real_time_median     10283620 ns     10284105 ns            3
solve<Make_heap>/8788/17576/real_time_stddev        23517 ns        23554 ns            3
solve<Make_heap>/8788/17576/real_time_cv             0.23 %          0.23 %             3
solve<Make_heap>/17576/17576/real_time           10540911 ns     10541600 ns           66
solve<Make_heap>/17576/17576/real_time           10507429 ns     10508167 ns           66
solve<Make_heap>/17576/17576/real_time           10517859 ns     10518503 ns           66
solve<Make_heap>/17576/17576/real_time_mean      10522066 ns     10522757 ns            3
solve<Make_heap>/17576/17576/real_time_median    10517859 ns     10518503 ns            3
solve<Make_heap>/17576/17576/real_time_stddev       17133 ns        17117 ns            3
solve<Make_heap>/17576/17576/real_time_cv            0.16 %          0.16 %             3
solve<LocalSort>/2/2/real_time                       1138 ns         1143 ns       614482
solve<LocalSort>/2/2/real_time                       1138 ns         1143 ns       614482
solve<LocalSort>/2/2/real_time                       1138 ns         1143 ns       614482
solve<LocalSort>/2/2/real_time_mean                  1138 ns         1143 ns            3
solve<LocalSort>/2/2/real_time_median                1138 ns         1143 ns            3
solve<LocalSort>/2/2/real_time_stddev               0.177 ns        0.118 ns            3
solve<LocalSort>/2/2/real_time_cv                    0.02 %          0.01 %             3
solve<LocalSort>/2/300/real_time                    77797 ns        77808 ns         8976
solve<LocalSort>/2/300/real_time                    77964 ns        77977 ns         8976
solve<LocalSort>/2/300/real_time                    79674 ns        79688 ns         8976
solve<LocalSort>/2/300/real_time_mean               78478 ns        78491 ns            3
solve<LocalSort>/2/300/real_time_median             77964 ns        77977 ns            3
solve<LocalSort>/2/300/real_time_stddev              1039 ns         1040 ns            3
solve<LocalSort>/2/300/real_time_cv                  1.32 %          1.32 %             3
solve<LocalSort>/17/300/real_time                  113003 ns       113012 ns         6207
solve<LocalSort>/17/300/real_time                  113253 ns       113267 ns         6207
solve<LocalSort>/17/300/real_time                  112589 ns       112600 ns         6207
solve<LocalSort>/17/300/real_time_mean             112949 ns       112960 ns            3
solve<LocalSort>/17/300/real_time_median           113003 ns       113012 ns            3
solve<LocalSort>/17/300/real_time_stddev              335 ns          337 ns            3
solve<LocalSort>/17/300/real_time_cv                 0.30 %          0.30 %             3
solve<LocalSort>/150/300/real_time                 106916 ns       106926 ns         6561
solve<LocalSort>/150/300/real_time                 106462 ns       106473 ns         6561
solve<LocalSort>/150/300/real_time                 106576 ns       106583 ns         6561
solve<LocalSort>/150/300/real_time_mean            106651 ns       106661 ns            3
solve<LocalSort>/150/300/real_time_median          106576 ns       106583 ns            3
solve<LocalSort>/150/300/real_time_stddev             236 ns          236 ns            3
solve<LocalSort>/150/300/real_time_cv                0.22 %          0.22 %             3
solve<LocalSort>/300/300/real_time                 107646 ns       107667 ns         6484
solve<LocalSort>/300/300/real_time                 107580 ns       107592 ns         6484
solve<LocalSort>/300/300/real_time                 108020 ns       108036 ns         6484
solve<LocalSort>/300/300/real_time_mean            107749 ns       107765 ns            3
solve<LocalSort>/300/300/real_time_median          107646 ns       107667 ns            3
solve<LocalSort>/300/300/real_time_stddev             237 ns          237 ns            3
solve<LocalSort>/300/300/real_time_cv                0.22 %          0.22 %             3
solve<LocalSort>/2/17576/real_time                5742611 ns      5743089 ns          123
solve<LocalSort>/2/17576/real_time                5652813 ns      5653137 ns          123
solve<LocalSort>/2/17576/real_time                5629530 ns      5630086 ns          123
solve<LocalSort>/2/17576/real_time_mean           5674985 ns      5675437 ns            3
solve<LocalSort>/2/17576/real_time_median         5652813 ns      5653137 ns            3
solve<LocalSort>/2/17576/real_time_stddev           59712 ns        59711 ns            3
solve<LocalSort>/2/17576/real_time_cv                1.05 %          1.05 %             3
solve<LocalSort>/132/17576/real_time              6911463 ns      6911780 ns          101
solve<LocalSort>/132/17576/real_time              6922300 ns      6922720 ns          101
solve<LocalSort>/132/17576/real_time              6906641 ns      6907112 ns          101
solve<LocalSort>/132/17576/real_time_mean         6913468 ns      6913871 ns            3
solve<LocalSort>/132/17576/real_time_median       6911463 ns      6911780 ns            3
solve<LocalSort>/132/17576/real_time_stddev          8020 ns         8011 ns            3
solve<LocalSort>/132/17576/real_time_cv              0.12 %          0.12 %             3
solve<LocalSort>/8788/17576/real_time             8663774 ns      8664137 ns           81
solve<LocalSort>/8788/17576/real_time             8688497 ns      8688580 ns           81
solve<LocalSort>/8788/17576/real_time             8691267 ns      8692144 ns           81
solve<LocalSort>/8788/17576/real_time_mean        8681179 ns      8681620 ns            3
solve<LocalSort>/8788/17576/real_time_median      8688497 ns      8688580 ns            3
solve<LocalSort>/8788/17576/real_time_stddev        15137 ns        15246 ns            3
solve<LocalSort>/8788/17576/real_time_cv             0.17 %          0.18 %             3
solve<LocalSort>/17576/17576/real_time            9341049 ns      9341480 ns           73
solve<LocalSort>/17576/17576/real_time            9362849 ns      9363884 ns           73
solve<LocalSort>/17576/17576/real_time            9301524 ns      9302606 ns           73
solve<LocalSort>/17576/17576/real_time_mean       9335141 ns      9335990 ns            3
solve<LocalSort>/17576/17576/real_time_median     9341049 ns      9341480 ns            3
solve<LocalSort>/17576/17576/real_time_stddev       31086 ns        31006 ns            3
solve<LocalSort>/17576/17576/real_time_cv            0.33 %          0.33 %             3
solve<Multiset>/2/2/real_time                        1173 ns         1178 ns       596825
solve<Multiset>/2/2/real_time                        1173 ns         1178 ns       596825
solve<Multiset>/2/2/real_time                        1173 ns         1177 ns       596825
solve<Multiset>/2/2/real_time_mean                   1173 ns         1177 ns            3
solve<Multiset>/2/2/real_time_median                 1173 ns         1178 ns            3
solve<Multiset>/2/2/real_time_stddev                0.115 ns        0.231 ns            3
solve<Multiset>/2/2/real_time_cv                     0.01 %          0.02 %             3
solve<Multiset>/2/300/real_time                    112671 ns       112690 ns         6229
solve<Multiset>/2/300/real_time                    112410 ns       112426 ns         6229
solve<Multiset>/2/300/real_time                    113183 ns       113201 ns         6229
solve<Multiset>/2/300/real_time_mean               112755 ns       112773 ns            3
solve<Multiset>/2/300/real_time_median             112671 ns       112690 ns            3
solve<Multiset>/2/300/real_time_stddev                393 ns          394 ns            3
solve<Multiset>/2/300/real_time_cv                   0.35 %          0.35 %             3
solve<Multiset>/17/300/real_time                   134862 ns       134883 ns         5237
solve<Multiset>/17/300/real_time                   135532 ns       135543 ns         5237
solve<Multiset>/17/300/real_time                   134543 ns       134560 ns         5237
solve<Multiset>/17/300/real_time_mean              134979 ns       134995 ns            3
solve<Multiset>/17/300/real_time_median            134862 ns       134883 ns            3
solve<Multiset>/17/300/real_time_stddev               505 ns          501 ns            3
solve<Multiset>/17/300/real_time_cv                  0.37 %          0.37 %             3
solve<Multiset>/150/300/real_time                  121247 ns       121262 ns         5777
solve<Multiset>/150/300/real_time                  120624 ns       120639 ns         5777
solve<Multiset>/150/300/real_time                  121078 ns       121099 ns         5777
solve<Multiset>/150/300/real_time_mean             120983 ns       121000 ns            3
solve<Multiset>/150/300/real_time_median           121078 ns       121099 ns            3
solve<Multiset>/150/300/real_time_stddev              322 ns          323 ns            3
solve<Multiset>/150/300/real_time_cv                 0.27 %          0.27 %             3
solve<Multiset>/300/300/real_time                  122883 ns       122901 ns         5716
solve<Multiset>/300/300/real_time                  122204 ns       122223 ns         5716
solve<Multiset>/300/300/real_time                  122961 ns       122972 ns         5716
solve<Multiset>/300/300/real_time_mean             122683 ns       122699 ns            3
solve<Multiset>/300/300/real_time_median           122883 ns       122901 ns            3
solve<Multiset>/300/300/real_time_stddev              417 ns          414 ns            3
solve<Multiset>/300/300/real_time_cv                 0.34 %          0.34 %             3
solve<Multiset>/2/17576/real_time                 8121062 ns      8121323 ns           86
solve<Multiset>/2/17576/real_time                 8112651 ns      8112986 ns           86
solve<Multiset>/2/17576/real_time                 8147638 ns      8148074 ns           86
solve<Multiset>/2/17576/real_time_mean            8127117 ns      8127461 ns            3
solve<Multiset>/2/17576/real_time_median          8121062 ns      8121323 ns            3
solve<Multiset>/2/17576/real_time_stddev            18263 ns        18332 ns            3
solve<Multiset>/2/17576/real_time_cv                 0.22 %          0.23 %             3
solve<Multiset>/132/17576/real_time               9552583 ns      9552653 ns           73
solve<Multiset>/132/17576/real_time               9567419 ns      9568184 ns           73
solve<Multiset>/132/17576/real_time               9590354 ns      9590760 ns           73
solve<Multiset>/132/17576/real_time_mean          9570119 ns      9570533 ns            3
solve<Multiset>/132/17576/real_time_median        9567419 ns      9568184 ns            3
solve<Multiset>/132/17576/real_time_stddev          19030 ns        19162 ns            3
solve<Multiset>/132/17576/real_time_cv               0.20 %          0.20 %             3
solve<Multiset>/8788/17576/real_time              9785112 ns      9786411 ns           72
solve<Multiset>/8788/17576/real_time              9826663 ns      9827072 ns           72
solve<Multiset>/8788/17576/real_time              9743884 ns      9744549 ns           72
solve<Multiset>/8788/17576/real_time_mean         9785220 ns      9786011 ns            3
solve<Multiset>/8788/17576/real_time_median       9785112 ns      9786411 ns            3
solve<Multiset>/8788/17576/real_time_stddev         41390 ns        41263 ns            3
solve<Multiset>/8788/17576/real_time_cv              0.42 %          0.42 %             3
solve<Multiset>/17576/17576/real_time            11240551 ns     11241838 ns           62
solve<Multiset>/17576/17576/real_time            11237132 ns     11238069 ns           62
solve<Multiset>/17576/17576/real_time            11105948 ns     11106297 ns           62
solve<Multiset>/17576/17576/real_time_mean       11194544 ns     11195402 ns            3
solve<Multiset>/17576/17576/real_time_median     11237132 ns     11238069 ns            3
solve<Multiset>/17576/17576/real_time_stddev        76745 ns        77189 ns            3
solve<Multiset>/17576/17576/real_time_cv             0.69 %          0.69 %             3
