-----------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations
-----------------------------------------------------------------------------------------
solve<GlobalSort>/2/2/real_time                      1193 ns         1198 ns       585739
solve<GlobalSort>/2/2/real_time                      1193 ns         1198 ns       585739
solve<GlobalSort>/2/2/real_time                      1195 ns         1200 ns       585739
solve<GlobalSort>/2/2/real_time_mean                 1193 ns         1199 ns            3
solve<GlobalSort>/2/2/real_time_median               1193 ns         1198 ns            3
solve<GlobalSort>/2/2/real_time_stddev               1.11 ns         1.11 ns            3
solve<GlobalSort>/2/2/real_time_cv                   0.09 %          0.09 %             3
solve<GlobalSort>/2/300/real_time                   91689 ns        91693 ns         7607
solve<GlobalSort>/2/300/real_time                   91779 ns        91782 ns         7607
solve<GlobalSort>/2/300/real_time                   91613 ns        91617 ns         7607
solve<GlobalSort>/2/300/real_time_mean              91694 ns        91697 ns            3
solve<GlobalSort>/2/300/real_time_median            91689 ns        91693 ns            3
solve<GlobalSort>/2/300/real_time_stddev             82.9 ns         82.6 ns            3
solve<GlobalSort>/2/300/real_time_cv                 0.09 %          0.09 %             3
solve<GlobalSort>/17/300/real_time                 134111 ns       134111 ns         5202
solve<GlobalSort>/17/300/real_time                 134454 ns       134461 ns         5202
solve<GlobalSort>/17/300/real_time                 134156 ns       134162 ns         5202
solve<GlobalSort>/17/300/real_time_mean            134240 ns       134245 ns            3
solve<GlobalSort>/17/300/real_time_median          134156 ns       134162 ns            3
solve<GlobalSort>/17/300/real_time_stddev             187 ns          189 ns            3
solve<GlobalSort>/17/300/real_time_cv                0.14 %          0.14 %             3
solve<GlobalSort>/150/300/real_time                143040 ns       143076 ns         4960
solve<GlobalSort>/150/300/real_time                141023 ns       141062 ns         4960
solve<GlobalSort>/150/300/real_time                142362 ns       142402 ns         4960
solve<GlobalSort>/150/300/real_time_mean           142142 ns       142180 ns            3
solve<GlobalSort>/150/300/real_time_median         142362 ns       142402 ns            3
solve<GlobalSort>/150/300/real_time_stddev           1026 ns         1025 ns            3
solve<GlobalSort>/150/300/real_time_cv               0.72 %          0.72 %             3
solve<GlobalSort>/300/300/real_time                166125 ns       166209 ns         4264
solve<GlobalSort>/300/300/real_time                164725 ns       164807 ns         4264
solve<GlobalSort>/300/300/real_time                164351 ns       164431 ns         4264
solve<GlobalSort>/300/300/real_time_mean           165067 ns       165149 ns            3
solve<GlobalSort>/300/300/real_time_median         164725 ns       164807 ns            3
solve<GlobalSort>/300/300/real_time_stddev            935 ns          937 ns            3
solve<GlobalSort>/300/300/real_time_cv               0.57 %          0.57 %             3
solve<GlobalSort>/2/17576/real_time               7725154 ns      7725114 ns           91
solve<GlobalSort>/2/17576/real_time               7562882 ns      7562724 ns           91
solve<GlobalSort>/2/17576/real_time               7485857 ns      7486188 ns           91
solve<GlobalSort>/2/17576/real_time_mean          7591298 ns      7591342 ns            3
solve<GlobalSort>/2/17576/real_time_median        7562882 ns      7562724 ns            3
solve<GlobalSort>/2/17576/real_time_stddev         122153 ns       122007 ns            3
solve<GlobalSort>/2/17576/real_time_cv               1.61 %          1.61 %             3
solve<GlobalSort>/132/17576/real_time            11227368 ns     11227188 ns           62
solve<GlobalSort>/132/17576/real_time            11213654 ns     11213219 ns           62
