-----------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations
solve<MinPriQ>/150/300/real_time                   910184 ns       910212 ns          769
solve<MinPriQ>/150/300/real_time_mean              910141 ns       910191 ns            3
solve<MinPriQ>/150/300/real_time_median            910184 ns       910212 ns            3
solve<MinPriQ>/150/300/real_time_stddev               244 ns          240 ns            3
solve<MinPriQ>/150/300/real_time_cv                  0.03 %          0.03 %             3
solve<MinPriQ>/300/300/real_time                   821721 ns       821772 ns          852
solve<MinPriQ>/300/300/real_time                   821431 ns       821495 ns          852
solve<MinPriQ>/300/300/real_time                   820725 ns       820789 ns          852
solve<MinPriQ>/300/300/real_time_mean              821292 ns       821352 ns            3
solve<MinPriQ>/300/300/real_time_median            821431 ns       821495 ns            3
solve<MinPriQ>/300/300/real_time_stddev               512 ns          507 ns            3
solve<MinPriQ>/300/300/real_time_cv                  0.06 %          0.06 %             3
solve<MinPriQ>/2/17576/real_time                 81992403 ns     81992549 ns            9
solve<MinPriQ>/2/17576/real_time                 82052701 ns     82052605 ns            9
solve<MinPriQ>/2/17576/real_time                 81900672 ns     81901407 ns            9
solve<MinPriQ>/2/17576/real_time_mean            81981925 ns     81982187 ns            3
solve<MinPriQ>/2/17576/real_time_median          81992403 ns     81992549 ns            3
solve<MinPriQ>/2/17576/real_time_stddev             76554 ns        76130 ns            3
solve<MinPriQ>/2/17576/real_time_cv                  0.09 %          0.09 %             3
solve<MinPriQ>/132/17576/real_time               71867703 ns     71868343 ns           10
solve<MinPriQ>/132/17576/real_time               71924292 ns     71924930 ns           10
solve<MinPriQ>/132/17576/real_time               71904575 ns     71903068 ns           10
solve<MinPriQ>/132/17576/real_time_mean          71898857 ns     71898780 ns            3
solve<MinPriQ>/132/17576/real_time_median        71904575 ns     71903068 ns            3
solve<MinPriQ>/132/17576/real_time_stddev           28725 ns        28536 ns            3
solve<MinPriQ>/132/17576/real_time_cv                0.04 %          0.04 %             3
solve<MinPriQ>/8788/17576/real_time              56664213 ns     56664814 ns           12
solve<MinPriQ>/8788/17576/real_time              56549086 ns     56549664 ns           12
solve<MinPriQ>/8788/17576/real_time              56470429 ns     56470965 ns           12
solve<MinPriQ>/8788/17576/real_time_mean         56561243 ns     56561814 ns            3
solve<MinPriQ>/8788/17576/real_time_median       56549086 ns     56549664 ns            3
solve<MinPriQ>/8788/17576/real_time_stddev          97463 ns        97494 ns            3
solve<MinPriQ>/8788/17576/real_time_cv               0.17 %          0.17 %             3
solve<MinPriQ>/17576/17576/real_time             52521568 ns     52522173 ns           13
solve<MinPriQ>/17576/17576/real_time             52197522 ns     52198123 ns           13
solve<MinPriQ>/17576/17576/real_time             52671326 ns     52672016 ns           13
solve<MinPriQ>/17576/17576/real_time_mean        52463472 ns     52464104 ns            3
solve<MinPriQ>/17576/17576/real_time_median      52521568 ns     52522173 ns            3
solve<MinPriQ>/17576/17576/real_time_stddev        242186 ns       242224 ns            3
solve<MinPriQ>/17576/17576/real_time_cv              0.46 %          0.46 %             3
solve<Make_heap>/2/2/real_time                       7491 ns         7500 ns        93533
solve<Make_heap>/2/2/real_time                       7487 ns         7497 ns        93533
solve<Make_heap>/2/2/real_time                       7488 ns         7500 ns        93533
solve<Make_heap>/2/2/real_time_mean                  7488 ns         7499 ns            3
solve<Make_heap>/2/2/real_time_median                7488 ns         7500 ns            3
solve<Make_heap>/2/2/real_time_stddev                1.89 ns         1.99 ns            3
solve<Make_heap>/2/2/real_time_cv                    0.03 %          0.03 %             3
solve<Make_heap>/2/300/real_time                  1203797 ns      1203838 ns          582
solve<Make_heap>/2/300/real_time                  1203951 ns      1203868 ns          582
solve<Make_heap>/2/300/real_time                  1202806 ns      1202846 ns          582
solve<Make_heap>/2/300/real_time_mean             1203518 ns      1203517 ns            3
solve<Make_heap>/2/300/real_time_median           1203797 ns      1203838 ns            3
solve<Make_heap>/2/300/real_time_stddev               621 ns          582 ns            3
solve<Make_heap>/2/300/real_time_cv                  0.05 %          0.05 %             3
solve<Make_heap>/17/300/real_time                 1259498 ns      1259551 ns          555
solve<Make_heap>/17/300/real_time                 1259412 ns      1259462 ns          555
solve<Make_heap>/17/300/real_time                 1260795 ns      1260716 ns          555
solve<Make_heap>/17/300/real_time_mean            1259902 ns      1259910 ns            3
solve<Make_heap>/17/300/real_time_median          1259498 ns      1259551 ns            3
solve<Make_heap>/17/300/real_time_stddev              775 ns          700 ns            3
solve<Make_heap>/17/300/real_time_cv                 0.06 %          0.06 %             3
solve<Make_heap>/150/300/real_time                 947786 ns       947829 ns          738
solve<Make_heap>/150/300/real_time                 947622 ns       947668 ns          738
solve<Make_heap>/150/300/real_time                 947329 ns       947378 ns          738
solve<Make_heap>/150/300/real_time_mean            947579 ns       947625 ns            3
solve<Make_heap>/150/300/real_time_median          947622 ns       947668 ns            3
solve<Make_heap>/150/300/real_time_stddev             232 ns          229 ns            3
solve<Make_heap>/150/300/real_time_cv                0.02 %          0.02 %             3
solve<Make_heap>/300/300/real_time                 798711 ns       798756 ns          876
solve<Make_heap>/300/300/real_time                 798498 ns       798544 ns          876
solve<Make_heap>/300/300/real_time                 798713 ns       798761 ns          876
solve<Make_heap>/300/300/real_time_mean            798641 ns       798687 ns            3
solve<Make_heap>/300/300/real_time_median          798711 ns       798756 ns            3
solve<Make_heap>/300/300/real_time_stddev             124 ns          124 ns            3
solve<Make_heap>/300/300/real_time_cv                0.02 %          0.02 %             3
solve<Make_heap>/2/17576/real_time               89860679 ns     89859353 ns            8
solve<Make_heap>/2/17576/real_time               89942122 ns     89942776 ns            8
solve<Make_heap>/2/17576/real_time               89804818 ns     89804928 ns            8
solve<Make_heap>/2/17576/real_time_mean          89869206 ns     89869019 ns            3
solve<Make_heap>/2/17576/real_time_median        89860679 ns     89859353 ns            3
solve<Make_heap>/2/17576/real_time_stddev           69048 ns        69430 ns            3
solve<Make_heap>/2/17576/real_time_cv                0.08 %          0.08 %             3
solve<Make_heap>/132/17576/real_time             75434419 ns     75435046 ns            9
solve<Make_heap>/132/17576/real_time             75497401 ns     75495676 ns            9
solve<Make_heap>/132/17576/real_time             75443850 ns     75444480 ns            9
solve<Make_heap>/132/17576/real_time_mean        75458557 ns     75458401 ns            3
solve<Make_heap>/132/17576/real_time_median      75443850 ns     75444480 ns            3
solve<Make_heap>/132/17576/real_time_stddev         33969 ns        32624 ns            3
solve<Make_heap>/132/17576/real_time_cv              0.05 %          0.04 %             3
solve<Make_heap>/8788/17576/real_time            59542276 ns     59542512 ns           12
solve<Make_heap>/8788/17576/real_time            59222672 ns     59223189 ns           12
solve<Make_heap>/8788/17576/real_time            59303090 ns     59302081 ns           12
solve<Make_heap>/8788/17576/real_time_mean       59356013 ns     59355928 ns            3
solve<Make_heap>/8788/17576/real_time_median     59303090 ns     59302081 ns            3
solve<Make_heap>/8788/17576/real_time_stddev       166245 ns       166332 ns            3
solve<Make_heap>/8788/17576/real_time_cv             0.28 %          0.28 %             3
solve<Make_heap>/17576/17576/real_time           50783078 ns     50783722 ns           14
solve<Make_heap>/17576/17576/real_time           51062660 ns     51063203 ns           14
solve<Make_heap>/17576/17576/real_time           51036221 ns     51036773 ns           14
solve<Make_heap>/17576/17576/real_time_mean      50960653 ns     50961233 ns            3
solve<Make_heap>/17576/17576/real_time_median    51036221 ns     51036773 ns            3
solve<Make_heap>/17576/17576/real_time_stddev      154352 ns       154296 ns            3
solve<Make_heap>/17576/17576/real_time_cv            0.30 %          0.30 %             3
solve<LocalSort>/2/2/real_time                       6912 ns         6921 ns       101225
solve<LocalSort>/2/2/real_time                       6909 ns         6919 ns       101225
solve<LocalSort>/2/2/real_time                       6914 ns         6922 ns       101225
solve<LocalSort>/2/2/real_time_mean                  6912 ns         6921 ns            3
solve<LocalSort>/2/2/real_time_median                6912 ns         6921 ns            3
solve<LocalSort>/2/2/real_time_stddev                2.63 ns         1.40 ns            3
solve<LocalSort>/2/2/real_time_cv                    0.04 %          0.02 %             3
solve<LocalSort>/2/300/real_time                   774239 ns       774288 ns          898
solve<LocalSort>/2/300/real_time                   774188 ns       774237 ns          898
solve<LocalSort>/2/300/real_time                   773261 ns       773312 ns          898
solve<LocalSort>/2/300/real_time_mean              773896 ns       773946 ns            3
solve<LocalSort>/2/300/real_time_median            774188 ns       774237 ns            3
solve<LocalSort>/2/300/real_time_stddev               551 ns          549 ns            3
solve<LocalSort>/2/300/real_time_cv                  0.07 %          0.07 %             3
